ProductID,Name,ProductNumber,Color,ListPrice
320,Chainring Bolts,CB-2903,Silver,0
321,Chainring Nut,CN-6137,Silver,0
332,Freewheel,FH-2981,Silver,0
351,Front Derailleur Cage,FC-3982,Silver,0
352,Front Derailleur Linkage,FL-2301,Silver,0
461,Lock Ring,LR-2398,Silver,0
679,Rear Derailleur Cage,RC-0291,Silver,0
739,HL Mountain Frame - Silver, 42,FR-M94S-42,Silver,1364.5
740,HL Mountain Frame - Silver, 44,FR-M94S-44,Silver,1364.5
741,HL Mountain Frame - Silver, 48,FR-M94S-52,Silver,1364.5
742,HL Mountain Frame - Silver, 46,FR-M94S-46,Silver,1364.5
748,HL Mountain Frame - Silver, 38,FR-M94S-38,Silver,1364.5
771,Mountain-100 Silver, 38,BK-M82S-38,Silver,3399.99
772,Mountain-100 Silver, 42,BK-M82S-42,Silver,3399.99
773,Mountain-100 Silver, 44,BK-M82S-44,Silver,3399.99
774,Mountain-100 Silver, 48,BK-M82S-48,Silver,3399.99
779,Mountain-200 Silver, 38,BK-M68S-38,Silver,2319.99
780,Mountain-200 Silver, 42,BK-M68S-42,Silver,2319.99
781,Mountain-200 Silver, 46,BK-M68S-46,Silver,2319.99
880,Hydration Pack - 70 oz.,HY-1023-70,Silver,54.99
894,Rear Derailleur,RD-2308,Silver,121.46
904,ML Mountain Frame-W - Silver, 40,FR-M63S-40,Silver,364.09
905,ML Mountain Frame-W - Silver, 42,FR-M63S-42,Silver,364.09
906,ML Mountain Frame-W - Silver, 46,FR-M63S-46,Silver,364.09
907,Rear Brakes,RB-9231,Silver,106.5
917,LL Mountain Frame - Silver, 42,FR-M21S-42,Silver,264.05
918,LL Mountain Frame - Silver, 44,FR-M21S-44,Silver,264.05
919,LL Mountain Frame - Silver, 48,FR-M21S-48,Silver,264.05
920,LL Mountain Frame - Silver, 52,FR-M21S-52,Silver,264.05
942,ML Mountain Frame-W - Silver, 38,FR-M63S-38,Silver,364.09
944,LL Mountain Frame - Silver, 40,FR-M21S-40,Silver,264.05
945,Front Derailleur,FD-2342,Silver,91.49
948,Front Brakes,FB-9873,Silver,106.5
952,Chain,CH-0234,Silver,20.24
980,Mountain-400-W Silver, 38,BK-M38S-38,Silver,769.49
981,Mountain-400-W Silver, 40,BK-M38S-40,Silver,769.49
982,Mountain-400-W Silver, 42,BK-M38S-42,Silver,769.49
983,Mountain-400-W Silver, 46,BK-M38S-46,Silver,769.49
984,Mountain-500 Silver, 40,BK-M18S-40,Silver,564.99
985,Mountain-500 Silver, 42,BK-M18S-42,Silver,564.99
986,Mountain-500 Silver, 44,BK-M18S-44,Silver,564.99
987,Mountain-500 Silver, 48,BK-M18S-48,Silver,564.99
988,Mountain-500 Silver, 52,BK-M18S-52,Silver,564.99
